2025-04-25 07:21:10,948 - ERROR - Exception từ ('127.0.0.1', 57752): [WinError 10054] An existing connection was forcibly closed by the remote host
2025-04-25 07:21:10,948 - INFO - Đóng kết nối từ ('127.0.0.1', 57752)
2025-04-25 07:21:13,347 - INFO - Nhận từ ('127.0.0.1', 57749): DEREGISTER 1ac13b3a-cec8-4222-90af-471342cbcd25
2025-04-25 07:21:13,364 - ERROR - Exception từ ('127.0.0.1', 57749): [WinError 10054] An existing connection was forcibly closed by the remote host
2025-04-25 07:21:13,365 - INFO - Đóng kết nối từ ('127.0.0.1', 57749)
2025-04-30 21:35:37,983 - INFO - Tracker Server khởi động
2025-04-30 21:35:37,985 - INFO - [Tracker] Tracker Server lắng nghe trên 127.0.0.1:22110
2025-04-30 21:36:01,077 - INFO - Kết nối từ ('127.0.0.1', 52672)
2025-04-30 21:36:01,077 - INFO - Nhận từ ('127.0.0.1', 52672): LOGIN alice password1 192.168.0.101 20000 online
2025-04-30 21:36:01,080 - INFO - Nhận từ ('127.0.0.1', 52672): GETPEERS
2025-04-30 21:36:02,837 - INFO - Nhận từ ('127.0.0.1', 52672): STATUS_CHANGE 4b0f787e-c409-462b-a7e3-a2e2efc66170 invisible
2025-04-30 21:36:04,718 - INFO - Nhận từ ('127.0.0.1', 52672): STATUS_CHANGE 4b0f787e-c409-462b-a7e3-a2e2efc66170 online
2025-04-30 21:36:06,881 - INFO - Nhận từ ('127.0.0.1', 52672): JOIN a
2025-04-30 21:36:06,881 - INFO - Nhận từ ('127.0.0.1', 52672): GETPEERS
2025-04-30 21:36:22,917 - INFO - Kết nối từ ('127.0.0.1', 52686)
2025-04-30 21:36:22,918 - INFO - Nhận từ ('127.0.0.1', 52686): LOGIN bob password2 192.168.0.101 20001 online
2025-04-30 21:36:22,920 - INFO - Nhận từ ('127.0.0.1', 52686): GETPEERS
2025-04-30 21:36:24,834 - INFO - Nhận từ ('127.0.0.1', 52686): JOIN a
2025-04-30 21:36:24,835 - INFO - Nhận từ ('127.0.0.1', 52686): GETPEERS
